"fs_orleans" "g_faust" "g_iphigenia"
"als" 0.286433133346236 0.329468006072548 0.268905358431167
"ihn" 0.352235339655506 0.248716043799864 0.282022692988785
"aus" 0.321269595509967 0.264866436254401 0.282022692988785
"noch" 0.321269595509967 0.274556671727123 0.262346691152358
"da" 0.216760209018773 0.38760941890888 0.170525349249033
"auch" 0.181923746855042 0.32623792758164 0.30825736210402
"vor" 0.267079543255274 0.24225588681805 0.30825736210402
"hier" 0.201277336946003 0.303627378145289 0.255788023873549
"wird" 0.263208825237082 0.287476985690752 0.150849347412606
"nach" 0.178053028836849 0.271326593236216 0.262346691152358
"eine" 0.290303851364428 0.203494944927162 0.203318685643077
"o" 0.209018772982388 0.155043767563552 0.43287204040139
"sind" 0.220630927036965 0.251946122290772 0.203318685643077
"hat" 0.255467389200697 0.239025808327142 0.157408014691415
"sein" 0.247725953164312 0.200264866436254 0.236112022037122
"ihm" 0.212889491000581 0.155043767563552 0.354168033055683
"man" 0.116121540545771 0.348848477017992 0.111497343739752
"denn" 0.170311592800464 0.206725023418069 0.295140027546403
"könig" 0.39094251983743 0.019380470945444 0.295140027546403
"um" 0.178053028836849 0.216415258890791 0.255788023873549
"zum" 0.189665182891426 0.19380470945444 0.282022692988785
"iphigenie" 0 0 0.970682757263724
"nun" 0.0967679504548094 0.300397299654382 0.196760018364268
"für" 0.205148054964196 0.226105494363513 0.137732012854988
"war" 0.209018772982388 0.203494944927162 0.163966681970224
"will" 0.274820979291659 0.19380470945444 0.0524693382304716
"bin" 0.154828720727695 0.239025808327142 0.137732012854988
"durch" 0.143216566673118 0.184114473981718 0.268905358431167
"soll" 0.170311592800464 0.206725023418069 0.163966681970224
"herz" 0.267079543255274 0.103362511709035 0.196760018364268
"selbst" 0.216760209018773 0.135663296618108 0.203318685643077
"schon" 0.0812850783820399 0.271326593236216 0.150849347412606
"dein" 0.224501645055158 0.0904421977454052 0.255788023873549
"kann" 0.178053028836849 0.219645337381698 0.0721453400668984
"meine" 0.205148054964196 0.138893375109015 0.157408014691415
"wo" 0.220630927036965 0.151813689072644 0.104938676460943
